Location
23-F1-L1
23-F1-L2
23-F1-L3
23-F1-L4
23-F2-L1
23-F2-L2
23-F2-L3
23-E1-L1
23-E1-L2
23-E1-L3
23-E1-L4
23-E1-L5
23-E1-L6
23-E1-L7
